iter	Passed	Remaining
0	1225	3675035
1	2319	3477172
2	3317	3314097
3	4293	3216182
4	5351	3205480
5	6424	3205630
6	7489	3202168
7	8771	3280715
8	10540	3503113
9	12349	3692518
10	14059	3820368
11	15604	3885632
12	17057	3919297
13	18362	3916378
14	19601	3900689
15	20878	3893842
16	22148	3886493
17	23387	3874485
18	24531	3848877
19	25702	3829678
20	26941	3821821
21	28201	3817426
22	29506	3819180
23	30861	3826870
24	32082	3817768
25	33408	3821371
26	34615	3811596
27	35863	3806630
28	37288	3820152
29	38535	3815060
30	39827	3814420
31	41162	3817796
32	42582	3828592
33	43964	3835271
34	45267	3834801
35	46610	3837606
36	47812	3828879
37	49043	3822813
38	50350	3822737
39	51866	3838137
40	53208	3840097
41	54649	3848868
42	55992	3850481
43	57431	3858351
44	58865	3865505
45	60555	3888691
46	61912	3889939
47	63356	3896441
48	64821	3903847
49	66264	3909617
50	67715	3915572
51	68991	3911286
52	70373	3913043
53	71765	3915198
54	73130	3915822
55	74367	3909617
56	75677	3907358
57	77041	3907887
58	78452	3910660
59	79906	3915419
60	81301	3917137
61	81929	3882399
62	83242	3880691
63	84499	3876416
64	85832	3875682
65	87245	3878452
66	88582	3877777
67	89972	3879401
68	91338	3879916
69	91759	3840792
70	93111	3841168
71	94424	3839920
72	95924	3846197
73	97476	3854269
74	98959	3859426
75	100262	3857483
76	101633	3858121
77	102980	3857800
78	104540	3865347
79	106032	3870191
80	107428	3871419
81	108749	3869908
82	110008	3866219
83	111372	3866222
84	112643	3863010
85	113881	3858729
86	115200	3857223
87	116440	3853114
88	117804	3853142
89	119242	3855504
90	119973	3835192
91	121360	3836059
92	122695	3835220
93	124099	3836525
94	125450	3836130
95	126827	3836518
96	128248	3838198
97	129577	3837076
98	130996	3838597
99	132324	3837414
100	133737	3838677
101	135054	3837147
102	136286	3833225
103	137648	3832978
104	138982	3831938
105	140385	3832789
106	141908	3836838
107	143273	3836538
108	144645	3836411
109	145898	3833147
110	147277	3833204
111	148590	3831511
112	150009	3832533
113	151360	3831817
114	152597	3828202
115	154073	3830578
116	155464	3830793
117	156769	3828888
118	158021	3825710
119	159235	3821652
120	160567	3820437
121	161853	3818143
122	163119	3815394
123	164361	3812122
124	165721	3811589
125	167063	3810646
126	168616	3814458
127	169948	3813217
128	171338	3813284
129	172686	3812379
130	174158	3814213
131	175495	3813030
132	176829	3811803
133	178191	3811172
134	179512	3809654
135	180883	3809187
136	182203	3807645
137	183535	3806373
138	184764	3802965
139	186167	3803145
140	187421	3800260
141	188658	3797087
142	189914	3794313
143	191174	3791633
144	192539	3791044
145	193894	3790246
146	195316	3790743
147	196707	3790612
148	198108	3790658
149	199366	3787961
150	200940	3791262
151	202341	3791242
152	203774	3791807
153	205053	3789500
154	206438	3789139
155	207852	3789302
156	209197	3788205
157	210601	3788152
158	211982	3787695
159	213691	3793023
160	215031	3791764
161	216446	3791815
162	217906	3792643
163	219351	3793171
164	220759	3793056
165	222289	3794985
166	223700	3794877
167	225035	3793449
168	226458	3793514
169	228003	3795588
170	229458	3796125
171	230711	3793326
172	232110	3792922
173	233318	3789418
174	234710	3788898
175	236018	3787023
176	237287	3784541
177	238731	3784827
178	240052	3783175
179	241616	3785321
180	242766	3780990
181	243898	3776400
182	245206	3774566
183	246628	3774488
184	247855	3771424
185	249217	3770419
186	250521	3768533
187	251747	3765494
188	253002	3762905
189	254487	3763739
190	255722	3760868
191	257074	3759711
192	258335	3757237
193	259645	3755489
194	261043	3755015
195	262475	3755001
196	263887	3754698
197	265236	3753491
198	266701	3753926
199	268127	3753785
200	269552	3753617
201	270914	3752568
202	272083	3748855
203	273387	3747020
204	274776	3746344
205	276053	3744147
206	277372	3742525
207	278472	3737958
208	279708	3735251
209	281004	3733347
210	282153	3729508
211	283508	3728408
212	284930	3728169
213	286264	3726786
214	287636	3725896
215	289011	3725036
216	290379	3724081
217	291616	3721455
218	292859	3718917
219	294236	3718073
220	295554	3716493
221	296869	3714879
222	298135	3712659
223	299551	3712300
224	300909	3711219
225	302087	3707920
226	303344	3705612
227	304560	3702809
228	305893	3701443
229	307261	3700497
230	308560	3698718
231	309896	3697385
232	311298	3696836
233	312751	3696880
234	314253	3697497
235	315767	3698220
236	316928	3694826
237	318129	3691908
238	319313	3688808
239	320690	3687939
240	322119	3687671
241	323486	3686674
242	324852	3685677
243	326157	3683973
244	327325	3680746
245	328735	3680239
246	330120	3679441
247	331553	3679169
248	332947	3678465
249	334492	3679418
250	335198	3671160
251	336545	3669949
252	337819	3667941
253	339022	3665184
254	340171	3661842
255	341527	3660752
256	342989	3660781
257	344329	3659500
258	345966	3661365
259	347414	3661219
260	348913	3661584
261	350188	3659598
262	351531	3658328
263	352718	3655447
264	354025	3653813
265	355531	3654220
266	356849	3652700
267	358148	3650976
268	359488	3649677
269	360751	3647598
270	362097	3646359
271	363559	3646291
272	364795	3643942
273	365994	3641247
274	367275	3639361
275	368745	3639357
276	370265	3639833
277	371626	3638734
278	373013	3637884
279	374475	3637763
280	375842	3636715
281	377153	3635120
282	378494	3633812
283	379903	3633156
284	381225	3631672
285	382477	3629523
286	384045	3630370
287	385522	3630337
288	387027	3630561
289	388359	3629155
290	389662	3627477
291	390897	3625175
292	392133	3622882
293	393453	3621380
294	394765	3619802
295	396252	3619817
296	397836	3620711
297	399303	3620534
298	400713	3619820
299	402067	3618605
300	403338	3616649
301	404742	3615879
302	406065	3614382
303	407435	3613311
304	408694	3611250
305	410033	3609899
